[2023-03-17:21:15:05] | INFO | Snowflake Connector for Python Version: 2.7.11, Python Version: 3.10.5, Platform: Windows-10-10.0.19045-SP0
[2023-03-17:21:15:05] | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2023-03-17:21:15:05] | INFO | Setting use_openssl_only mode to False
[2023-03-17:21:15:07] | INFO | query: [select current_database(), current_schema();]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:15:08] | INFO | query: [ROLLBACK]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:15:08] | INFO | query: [ROLLBACK]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:15:08] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY Styl...]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:15:08] | INFO | query: [ROLLBACK]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:15:08] | INFO | query: [ROLLBACK]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:15:08] | INFO | query: [select distinct a.STYLE_ID as NY Style ID, a.STYLE_ID as NY Kmart Style Nbr, a.P...]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:15:08] | INFO | query: [ROLLBACK]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:15:08] | INFO | query: [ROLLBACK]
[2023-03-17:21:15:08] | INFO | query execution done
[2023-03-17:21:40:24] | INFO | query: [ROLLBACK]
[2023-03-17:21:40:25] | INFO | query execution done
[2023-03-17:21:40:25] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-17:21:40:25] | INFO | query execution done
[2023-03-17:21:40:25] | INFO | query: [ROLLBACK]
[2023-03-17:21:40:25] | INFO | query execution done
[2023-03-17:21:40:25] | INFO | query: [ROLLBACK]
[2023-03-17:21:40:25] | INFO | query execution done
[2023-03-17:21:40:25] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-17:21:40:25] | INFO | query execution done
[2023-03-17:21:40:25] | INFO | query: [ROLLBACK]
[2023-03-17:21:40:25] | INFO | query execution done
[2023-03-17:21:40:25] | INFO | query: [ROLLBACK]
[2023-03-17:21:40:25] | INFO | query execution done
[2023-03-17:21:42:21] | INFO | query: [ROLLBACK]
[2023-03-17:21:42:21] | INFO | query execution done
[2023-03-17:21:42:21] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-17:21:42:21] | INFO | query execution done
[2023-03-17:21:42:21] | INFO | query: [ROLLBACK]
[2023-03-17:21:42:21] | INFO | query execution done
[2023-03-17:21:42:21] | INFO | query: [ROLLBACK]
[2023-03-17:21:42:21] | INFO | query execution done
[2023-03-17:21:42:21] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-17:21:42:22] | INFO | query execution done
[2023-03-17:21:42:22] | INFO | query: [ROLLBACK]
[2023-03-17:21:42:22] | INFO | query execution done
[2023-03-17:21:42:22] | INFO | query: [ROLLBACK]
[2023-03-17:21:42:22] | INFO | query execution done
[2023-03-17:21:47:42] | INFO | query: [ROLLBACK]
[2023-03-17:21:47:43] | INFO | query execution done
[2023-03-17:21:47:43] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-17:21:47:43] | INFO | query execution done
[2023-03-17:21:47:43] | INFO | query: [ROLLBACK]
[2023-03-17:21:47:43] | INFO | query execution done
[2023-03-17:21:47:43] | INFO | query: [ROLLBACK]
[2023-03-17:21:47:43] | INFO | query execution done
[2023-03-17:21:47:43] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-17:21:47:43] | INFO | query execution done
[2023-03-17:21:47:43] | INFO | query: [ROLLBACK]
[2023-03-17:21:47:43] | INFO | query execution done
[2023-03-17:21:47:43] | INFO | query: [ROLLBACK]
[2023-03-17:21:47:43] | INFO | query execution done
[2023-03-17:21:48:58] | INFO | query: [ROLLBACK]
[2023-03-17:21:48:58] | INFO | query execution done
[2023-03-17:21:48:58] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-17:21:48:59] | INFO | query execution done
[2023-03-17:21:48:59] | INFO | query: [ROLLBACK]
[2023-03-17:21:48:59] | INFO | query execution done
[2023-03-17:21:48:59] | INFO | query: [ROLLBACK]
[2023-03-17:21:48:59] | INFO | query execution done
[2023-03-17:21:48:59] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-17:21:49:00] | INFO | query execution done
[2023-03-17:21:49:01] | INFO | query: [ROLLBACK]
[2023-03-17:21:49:01] | INFO | query execution done
[2023-03-17:21:57:44] | INFO | query: [ROLLBACK]
[2023-03-17:21:57:45] | INFO | query execution done
[2023-03-17:21:57:45] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select concat(SUBSTR(ACCOUNTING_QUARTER...]
[2023-03-17:21:57:45] | INFO | query execution done
[2023-03-17:21:57:45] | INFO | query: [ROLLBACK]
[2023-03-17:21:57:45] | INFO | query execution done
[2023-03-17:21:57:45] | INFO | query: [ROLLBACK]
[2023-03-17:21:57:45] | INFO | query execution done
[2023-03-17:21:57:45] | INFO | query: [select concat(SUBSTR(ACCOUNTING_QUARTER_ID, 1, 4),'-Q',SUBSTR(ACCOUNTING_QUARTER...]
[2023-03-17:21:57:46] | INFO | query execution done
[2023-03-17:21:57:46] | INFO | query: [ROLLBACK]
[2023-03-17:21:57:46] | INFO | query execution done
[2023-03-17:22:15:13] | INFO | query: [ROLLBACK]
[2023-03-17:22:15:13] | INFO | query execution done
[2023-03-17:22:15:13] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-17:22:15:13] | INFO | query execution done
[2023-03-17:22:15:13] | INFO | query: [ROLLBACK]
[2023-03-17:22:15:13] | INFO | query execution done
[2023-03-17:22:15:13] | INFO | query: [ROLLBACK]
[2023-03-17:22:15:13] | INFO | query execution done
[2023-03-17:22:15:13] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-17:22:15:15] | INFO | query execution done
[2023-03-17:22:15:16] | INFO | query: [ROLLBACK]
[2023-03-17:22:15:16] | INFO | query execution done
[2023-03-17:22:15:16] | INFO | query: [ROLLBACK]
[2023-03-17:22:15:16] | INFO | query execution done
[2023-03-17:22:15:16] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select concat(SUBSTR(ACCOUNTING_QUARTER...]
[2023-03-17:22:15:16] | INFO | query execution done
[2023-03-17:22:15:16] | INFO | query: [ROLLBACK]
[2023-03-17:22:15:16] | INFO | query execution done
[2023-03-17:22:15:16] | INFO | query: [ROLLBACK]
[2023-03-17:22:15:17] | INFO | query execution done
[2023-03-17:22:15:17] | INFO | query: [select concat(SUBSTR(ACCOUNTING_QUARTER_ID, 1, 4),'-Q',SUBSTR(ACCOUNTING_QUARTER...]
[2023-03-17:22:15:17] | INFO | query execution done
[2023-03-17:22:15:17] | INFO | query: [ROLLBACK]
[2023-03-17:22:15:17] | INFO | query execution done
[2023-03-17:23:19:30] | INFO | Snowflake Connector for Python Version: 2.7.11, Python Version: 3.10.5, Platform: Windows-10-10.0.19045-SP0
[2023-03-17:23:19:30] | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2023-03-17:23:19:30] | INFO | Setting use_openssl_only mode to False
[2023-03-17:23:19:31] | INFO | query: [select current_database(), current_schema();]
[2023-03-17:23:19:31] | INFO | query execution done
[2023-03-17:23:19:31] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:31] | INFO | query execution done
[2023-03-17:23:19:31] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:31] | INFO | query execution done
[2023-03-17:23:19:31] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-17:23:19:31] | INFO | query execution done
[2023-03-17:23:19:31] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:31] | INFO | query execution done
[2023-03-17:23:19:31] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:31] | INFO | query execution done
[2023-03-17:23:19:31] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-17:23:19:33] | INFO | query execution done
[2023-03-17:23:19:36] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:36] | INFO | query execution done
[2023-03-17:23:19:38] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:38] | INFO | query execution done
[2023-03-17:23:19:38] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select concat(SUBSTR(ACCOUNTING_QUARTER...]
[2023-03-17:23:19:38] | INFO | query execution done
[2023-03-17:23:19:38] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:38] | INFO | query execution done
[2023-03-17:23:19:38] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:38] | INFO | query execution done
[2023-03-17:23:19:38] | INFO | query: [select concat(SUBSTR(ACCOUNTING_QUARTER_ID, 1, 4),'-Q',SUBSTR(ACCOUNTING_QUARTER...]
[2023-03-17:23:19:38] | INFO | query execution done
[2023-03-17:23:19:38] | INFO | query: [ROLLBACK]
[2023-03-17:23:19:38] | INFO | query execution done
[2023-03-17:23:26:01] | INFO | query: [ROLLBACK]
[2023-03-17:23:26:02] | INFO | query execution done
[2023-03-17:23:26:02] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select * from ksfpa".ddrpf.dept_core_tr...]
[2023-03-17:23:26:02] | INFO | query execution done
[2023-03-17:23:26:02] | INFO | query: [ROLLBACK]
[2023-03-17:23:26:02] | INFO | query execution done
[2023-03-17:23:26:02] | INFO | query: [ROLLBACK]
[2023-03-17:23:26:02] | INFO | query execution done
[2023-03-17:23:26:02] | INFO | query: [select * from ksfpa.ddrpf.dept_core_trend]
[2023-03-17:23:26:03] | INFO | query execution done
[2023-03-17:23:26:03] | INFO | query: [ROLLBACK]
[2023-03-17:23:26:03] | INFO | query execution done
[2023-03-17:23:27:46] | INFO | query: [ROLLBACK]
[2023-03-17:23:27:46] | INFO | query execution done
[2023-03-17:23:27:46] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-17:23:27:47] | INFO | query execution done
[2023-03-17:23:27:47] | INFO | query: [ROLLBACK]
[2023-03-17:23:27:47] | INFO | query execution done
[2023-03-17:23:27:47] | INFO | query: [ROLLBACK]
[2023-03-17:23:27:47] | INFO | query execution done
[2023-03-17:23:27:47] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-17:23:27:47] | INFO | query execution done
[2023-03-17:23:27:47] | INFO | query: [ROLLBACK]
[2023-03-17:23:27:47] | INFO | query execution done
[2023-03-17:23:27:47] | INFO | query: [ROLLBACK]
[2023-03-17:23:27:47] | INFO | query execution done
[2023-03-17:23:28:31] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:31] | INFO | query execution done
[2023-03-17:23:28:31] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-17:23:28:31] | INFO | query execution done
[2023-03-17:23:28:31] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:31] | INFO | query execution done
[2023-03-17:23:28:31] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:31] | INFO | query execution done
[2023-03-17:23:28:31] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-17:23:28:33] | INFO | query execution done
[2023-03-17:23:28:36] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:36] | INFO | query execution done
[2023-03-17:23:28:36] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:36] | INFO | query execution done
[2023-03-17:23:28:36] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select concat(SUBSTR(ACCOUNTING_QUARTER...]
[2023-03-17:23:28:36] | INFO | query execution done
[2023-03-17:23:28:36] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:36] | INFO | query execution done
[2023-03-17:23:28:36] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:36] | INFO | query execution done
[2023-03-17:23:28:36] | INFO | query: [select concat(SUBSTR(ACCOUNTING_QUARTER_ID, 1, 4),'-Q',SUBSTR(ACCOUNTING_QUARTER...]
[2023-03-17:23:28:36] | INFO | query execution done
[2023-03-17:23:28:36] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:36] | INFO | query execution done
[2023-03-17:23:28:37] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:37] | INFO | query execution done
[2023-03-17:23:28:37] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select * from ksfpa".ddrpf.dept_core_tr...]
[2023-03-17:23:28:37] | INFO | query execution done
[2023-03-17:23:28:37] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:37] | INFO | query execution done
[2023-03-17:23:28:37] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:37] | INFO | query execution done
[2023-03-17:23:28:37] | INFO | query: [select * from ksfpa.ddrpf.dept_core_trend]
[2023-03-17:23:28:37] | INFO | query execution done
[2023-03-17:23:28:37] | INFO | query: [ROLLBACK]
[2023-03-17:23:28:37] | INFO | query execution done
[2023-03-20:17:34:27] | INFO | Snowflake Connector for Python Version: 2.7.11, Python Version: 3.10.5, Platform: Windows-10-10.0.19045-SP0
[2023-03-20:17:34:27] | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2023-03-20:17:34:27] | INFO | Setting use_openssl_only mode to False
[2023-03-20:17:34:28] | INFO | query: [select current_database(), current_schema();]
[2023-03-20:17:34:28] | INFO | query execution done
[2023-03-20:17:34:28] | INFO | query: [ROLLBACK]
[2023-03-20:17:34:28] | INFO | query execution done
[2023-03-20:17:34:28] | INFO | query: [ROLLBACK]
[2023-03-20:17:34:28] | INFO | query execution done
[2023-03-20:17:34:28] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ " select distinct concat('F',substr(ACCO...]
[2023-03-20:17:34:29] | INFO | query execution done
[2023-03-20:17:34:29] | INFO | query: [ROLLBACK]
[2023-03-20:17:34:29] | INFO | query execution done
[2023-03-20:17:34:29] | INFO | query: [ROLLBACK]
[2023-03-20:17:34:29] | INFO | query execution done
[2023-03-20:17:34:29] | INFO | query: [select distinct concat('F',substr(ACCOUNTING_YEAR_ID,3,2),'P',to_number(substr(A...]
[2023-03-20:17:34:30] | INFO | query execution done
[2023-03-20:17:34:31] | INFO | query: [ROLLBACK]
[2023-03-20:17:34:31] | INFO | query execution done
[2023-03-20:17:49:25] | INFO | query: [ROLLBACK]
[2023-03-20:17:49:25] | INFO | query execution done
[2023-03-20:17:49:25] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-20:17:49:25] | INFO | query execution done
[2023-03-20:17:49:25] | INFO | query: [ROLLBACK]
[2023-03-20:17:49:25] | INFO | query execution done
[2023-03-20:17:49:25] | INFO | query: [ROLLBACK]
[2023-03-20:17:49:25] | INFO | query execution done
[2023-03-20:17:49:25] | INFO | query: [select distinct a.STYLE_ID as NY_Style_ID, a.STYLE_ID as NY_Kmart_Style_Nbr, a.P...]
[2023-03-20:17:49:25] | INFO | query execution done
[2023-03-20:17:49:25] | INFO | query: [ROLLBACK]
[2023-03-20:17:49:26] | INFO | query execution done
[2023-03-20:17:49:26] | INFO | query: [ROLLBACK]
[2023-03-20:17:49:26] | INFO | query execution done
[2023-03-20:17:50:18] | INFO | query: [ROLLBACK]
[2023-03-20:17:50:18] | INFO | query execution done
[2023-03-20:17:50:18] | INFO | query: [DESC TABLE /* sqlalchemy:_has_object */ "select distinct a"."STYLE_ID as NY_Styl...]
[2023-03-20:17:50:18] | INFO | query execution done
[2023-03-20:17:50:18] | INFO | query: [ROLLBACK]
[2023-03-20:17:50:18] | INFO | query execution done
